 ,Area,Mean,Min,Max,X,Y,Slice
1,0.000,82,82,82,114.785,63.595,1
2,0.000,110,110,110,108.024,41.901,1
3,0.000,82,82,82,111.448,63.927,15
4,0.000,124,124,124,104.599,41.424,15
5,0.000,93,93,93,110.679,60.992,30
6,0.000,131,131,131,104.390,37.021,30
7,0.000,76,76,76,107.884,67.351,45
8,0.000,128,128,128,100.965,41.703,45
9,0.000,87,87,87,105.927,67.980,60
10,0.000,132,132,132,100.965,40.865,60
11,0.000,104,104,104,105.089,63.158,75
12,0.000,135,135,135,103.621,33.876,75
13,0.000,118,118,118,96.353,58.685,90
14,0.000,148,148,148,97.821,27.377,90
15,0.000,121,121,121,96.772,55.645,105
16,0.000,136,136,136,100.616,25.036,105
17,0.000,117,117,117,99.218,56.694,120
18,0.000,128,128,128,106.906,26.923,120
