 ,Area,Mean,Min,Max,X,Y,Major,Minor,Angle,Slice
1,0.000,123,123,123,41.442,6.757,0.060,0.060,0,219
2,0.000,154,154,154,54.930,22.833,0.060,0.060,0,219
3,0.000,87,87,87,39.673,7.945,0.060,0.060,0,234
4,0.000,153,153,153,53.346,26.422,0.060,0.060,0,234
5,0.000,79,79,79,37.086,8.368,0.060,0.060,0,249
6,0.000,145,145,145,51.076,29.115,0.060,0.060,0,249
7,0.000,133,133,133,35.186,8.368,0.060,0.060,0,264
8,0.000,144,144,144,49.440,31.174,0.060,0.060,0,264
9,0.000,133,133,133,33.655,2.877,0.060,0.060,0,324
10,0.000,121,121,121,49.598,34.605,0.060,0.060,0,324
